UF,regional,municipio,co_municipio,no_municipio
MG,SRE MANHUAÇU,LAJINHA,3137700,Lajinha
BA,4,Lamarão,2919108,Lamarão
MG,SRE VARGINHA,LAMBARI,3137809,Lambari
MT,CÁCERES,Lambari D'Oeste,5105234,Lambari D'Oeste
MG,SRE CONSELHEIRO LAFAIETE,LAMIM,3137908,Lamim
PI,10ª,LANDRI SALES,2205607,Landri Sales
PR,AREA METROPOLITANA SUL,LAPA,4113205,Lapa
BA,1,Lapão,2919157,Lapão
ES,SRE Afonso Cláudio,Laranja da Terra,3203163,Laranja da Terra
MG,SRE MURIAÉ,LARANJAL,3138005,Laranjal
PR,PITANGA,LARANJAL,4113254,Laranjal
AP,AP,Laranjal do Jari,1600279,Laranjal do Jari
SP,BOTUCATU,LARANJAL PAULISTA,3526407,Laranjal Paulista
SE,DRE08,LARANJEIRAS,2803609,Laranjeiras
PR,LARANJEIRAS DO SUL,LARANJEIRAS DO SUL,4113304,Laranjeiras do Sul
MG,SRE CURVELO,LASSANCE,3138104,Lassance
PB,Sousa,Lastro,2508406,Lastro
SC,Coordenadoria Regional de Educação de Rio do Sul,Laurentino,4209508,Laurentino
BA,26,LAURO DE FREITAS,2919207,Lauro de Freitas
SC,Coordenadoria Regional de Educação de Criciúma,Lauro Müller,4209607,Lauro Müller
TO,ARRAIAS,Lavandeira,1712157,Lavandeira
SP,ANDRADINA,LAVINIA,3526506,Lavínia
MG,SRE CAMPO BELO,LAVRAS,3138203,Lavras
CE,CREDE 17,Lavras da Mangabeira,2307502,Lavras da Mangabeira
RS,13º CRE (Bagé),Lavras do Sul,4311502,Lavras do Sul
SP,GUARATINGUETA,LAVRINHAS,3526605,Lavrinhas
MG,SRE PARÁ DE MINAS,LEANDRO FERREIRA,3138302,Leandro Ferreira
SC,Coordenadoria Regional de Educação de Caçador,Lebon Régis,4209706,Lebon Régis
SP,PIRASSUNUNGA,LEME,3526704,Leme
MG,SRE DIAMANTINA,LEME DO PRADO,3138351,Leme do Prado
BA,3,Lençóis,2919306,Lençóis
SP,BAURU,LENCOIS PAULISTA,3526803,Lençóis Paulista
SC,Coordenadoria Regional de Educação de Ituporanga,Leoberto Leal,4209805,Leoberto Leal
MG,SRE LEOPOLDINA,LEOPOLDINA,3138401,Leopoldina
GO,CRE-SILVÂNIA,LEOPOLDO DE BULHÕES,5212303,Leopoldo de Bulhões
PR,CORNELIO PROCOPIO,LEOPOLIS,4113403,Leópolis
RS,20º CRE (Palmeira das Missões),Liberato Salzano,4311601,Liberato Salzano
MG,SRE CAXAMBU,LIBERDADE,3138500,Liberdade
BA,20,LICINIO DE ALMEIDA,2919405,Licínio de Almeida
PR,IVAIPORA,LIDIANOPOLIS,4113429,Lidianópolis
MA,pedreiras,lima campos,2106003,Lima Campos
MG,SRE JUIZ DE FORA,LIMA DUARTE,3138609,Lima Duarte
SP,LIMEIRA,LIMEIRA,3526902,Limeira
MG,SRE UBERABA,LIMEIRA DO OESTE,3138625,Limeira do Oeste
PE,VALE DO CAPIBARIBE (LIMOEIRO),Limoeiro,2608909,Limoeiro
AL,5a GEE,Limoeiro de Anadia,2704203,Limoeiro de Anadia
PA,curralinho,limoeiro do ajuru,1504000,Limoeiro do Ajuru
CE,CREDE 10,Limoeiro do Norte,2307601,Limoeiro do Norte
PR,CASCAVEL,LINDOESTE,4113452,Lindoeste
SP,MOGI MIRIM,LINDOIA,3527009,Lindóia
SC,Coordenadoria Regional de Educação de Seara,Lindóia do Sul,4209854,Lindóia do Sul
RS,2º CRE (São Leopoldo),Lindolfo Collor,4311627,Lindolfo Collor
RS,2º CRE (São Leopoldo),Linha Nova,4311643,Linha Nova
ES,SRE Linhares,Linhares,3203205,Linhares
SP,LINS,LINS,3527108,Lins
PB,Campina Grande,Livramento,2508505,Livramento
BA,13,Livramento de Nossa Senhora,2919504,Livramento de Nossa Senhora
TO,MIRACEMA DO TOCANTINS,Lizarda,1712405,Lizarda
PR,LOANDA,LOANDA,4113502,Loanda
PR,MARINGA,LOBATO,4113601,Lobato
PB,Guarabira,Logradouro,2508554,Logradouro
PR,LONDRINA,LONDRINA,4113700,Londrina
MG,SRE MONTES CLAROS,LONTRA,3138658,Lontra
SC,Coordenadoria Regional de Educação de Ibirama,Lontras,4209904,Lontras
SP,GUARATINGUETA,LORENA,3527207,Lorena
MA,balsas,loreto,2106102,Loreto
SP,BIRIGUI,LOURDES,3527256,Lourdes
SP,JUNDIAI,LOUVEIRA,3527306,Louveira
MT,SINOP,Lucas do Rio Verde,5105259,Lucas do Rio Verde
SP,ADAMANTINA,LUCELIA,3527405,Lucélia
PB,João Pessoa,Lucena,2508604,Lucena
SP,BAURU,LUCIANOPOLIS,3527504,Lucianópolis
MT,CONFRESA,Luciara,5105309,Luciara
RN,14,lucrecia,2406908,Lucrécia
SP,RIBEIRAO PRETO,LUIS ANTONIO,3527603,Luís Antônio
PI,01ª,LUIS CORREIA,2205706,Luís Correia
MA,ze doca,luis domingues,2106201,Luís Domingues
BA,11,Luís Eduardo Magalhães,2919553,Luís Eduardo Magalhães
RN,15,Luís Gomes,2407005,Luís Gomes
MG,SRE MANHUAÇU,LUISBURGO,3138674,Luisburgo
MG,SRE MONTES CLAROS,LUISLÂNDIA,3138682,Luislândia
SC,Coordenadoria Regional de Educação de Blumenau,Luiz Alves,4210001,Luiz Alves
PR,CAMPO MOURAO,LUIZIANA,4113734,Luiziana
SP,PENAPOLIS,LUIZIANIA,3527702,Luiziânia
MG,SRE VARGINHA,LUMINÁRIAS,3138708,Luminárias
PR,IVAIPORA,LUNARDELLI,4113759,Lunardelli
SP,MARILIA,LUPERCIO,3527801,Lupércio
PR,LONDRINA,LUPIONOPOLIS,4113809,Lupionópolis
SP,ASSIS,LUTECIA,3527900,Lutécia
MG,SRE DIVINÓPOLIS,LUZ,3138807,Luz
SC,Coordenadoria Regional de Educação de Joaçaba,Luzerna,4210035,Luzerna
GO,CRE-LUZIÂNIA,LUZIÂNIA,5212501,Luziânia
PI,02ª,LUZILANDIA,2205805,Luzilândia
TO,TOCANTINOPOLIS,Luzinópolis,1712454,Luzinópolis
RJ,NORTE FLUMINENSE,Macaé,3302403,Macaé
RN,1,macaiba,2407104,Macaíba
BA,14,MACAJUBA,2919603,Macajuba
RS,35º CRE (São Borja),Maçambará,4311718,Maçambará
SE,DRE03,MACAMBIRA,2803708,Macambira
AP,AP,Macapa,1600303,Macapá
PE,MATA NORTE (NAZARÉ DA MATA),Macaparana,2609006,Macaparana
BA,8,Macarani,2919702,Macarani
SP,JAU,MACATUBA,3528007,Macatuba
RN,6,macau,2407203,Macau
SP,VOTUPORANGA,MACAUBAL,3528106,Macaubal
BA,12,Macaúbas,2919801,Macaúbas
SP,FERNANDOPOLIS,MACEDONIA,3528205,Macedônia
AL,Maceió,Maceió,2704302,Maceió
MG,SRE TEÓFILO OTONI,MACHACALIS,3138906,Machacalis
RS,15º CRE (Erechim),Machadinho,4311700,Machadinho
RO,MACHADINHO,Machadinho D'Oeste,1100130,Machadinho D'Oeste
MG,SRE VARGINHA,MACHADO,3139003,Machado
PE,VALE DO CAPIBARIBE (LIMOEIRO),Machados,2609105,Machados
SC,Coordenadoria Regional de Educação de Caçador,Macieira,4210050,Macieira
RJ,SERRANA II,Macuco,3302452,Macuco
BA,24,MACURURE,2919900,Macururé
CE,CREDE 12,Madalena,2307635,Madalena
PI,02ª,Madeiro,2205854,Madeiro
BA,26,MADRE DE DEUS,2919926,Madre de Deus
MG,SRE BARBACENA,MADRE DE DEUS DE MINAS,3139102,Madre de Deus de Minas
PB,Patos,Mãe D'Água,2508703,Mãe d'Água
PA,Mãe do rio,Mãe do rio,1504059,Mãe do Rio
BA,20,MAETINGA,2919959,Maetinga
SC,Coordenadoria Regional de Educação de Mafra,Mafra,4210100,Mafra
PA,Maracanã,Magalhães Barata,1504109,Magalhães Barata
MA,chapadinha,magalhaes de almeida,2106300,Magalhães de Almeida
SP,FERNANDOPOLIS,MAGDA,3528304,Magda
RJ,SERRANA I,Magé,3302502,Magé
BA,8,Maiquinique,2920007,Maiquinique
BA,15,MAIRI,2920106,Mairi
SP,SAO ROQUE,MAIRINQUE,3528403,Mairinque
SP,CAIEIRAS,MAIRIPORA,3528502,Mairiporã
GO,CRE-PIRACANJUBA,MAIRIPOTABA,5212600,Mairipotaba
SC,Coordenadoria Regional de Educação de Brusque,Major Gercino,4210209,Major Gercino
AL,3a GEE,Major Isidoro,2704401,Major Isidoro
RN,15,major sales,2407252,Major Sales
SC,Coordenadoria Regional de Educação de Canoinhas,Major Vieira,4210308,Major Vieira
MG,SRE TEÓFILO OTONI,MALACACHETA,3139201,Malacacheta
BA,2,Malhada,2920205,Malhada
BA,13,Malhada de Pedras,2920304,Malhada de Pedras
SE,DRE06,MALHADA DOS BOIS,2803807,Malhada dos Bois
SE,DRE03,MALHADOR,2803906,Malhador
PR,IRATI,MALLET,4113908,Mallet
PB,Patos,Malta,2508802,Malta
PB,Mamanguape,Mamanguape,2508901,Mamanguape
GO,CRE-POSSE,MAMBAÍ,5212709,Mambaí
PR,CAMPO MOURAO,MAMBORE,4114005,Mamborê
MG,SRE JANAÚBA,MAMONAS,3139250,Mamonas
RS,11º CRE (Osório),Mampituba,4311734,Mampituba
AM,Centro Amazonense,Manacapuru,1302504,Manacapuru
PB,Princesa Isabel,Manaíra,2509008,Manaíra
AM,Centro Amazonense,Manaquiri,1302553,Manaquiri
PE,SERTÃO DO MOXOTÓ IPANEMA (ARCOVERDE),Manari,2609154,Manari
AM,Centro Amazonense,Manaus,1302603,Manaus
AC,JURUÁ,MÂNCIO LIMA,1200336,Mâncio Lima
PR,MARINGA,MANDAGUACU,4114104,Mandaguaçu
PR,MARINGA,MANDAGUARI,4114203,Mandaguari
PR,AREA METROPOLITANA SUL,MANDIRITUBA,4114302,Mandirituba
SP,PIRAJU,MANDURI,3528601,Manduri
PR,FRANCISCO BELTRAO,MANFRINOPOLIS,4114351,Manfrinópolis
MG,SRE JANUÁRIA,MANGA,3139300,Manga
RJ,SUL FLUMINENSE,Mangaratiba,3302601,Mangaratiba
PR,PATO BRANCO,MANGUEIRINHA,4114401,Mangueirinha
MG,SRE MANHUAÇU,MANHUAÇU,3139409,Manhuaçu
MG,SRE MANHUAÇU,MANHUMIRIM,3139508,Manhumirim
AM,Sul Amazonense,Manicoré,1302702,Manicoré
PI,14ª,MANOEL EMIDIO,2205904,Manoel Emídio
PR,IVAIPORA,MANOEL RIBAS,4114500,Manoel Ribas
AC,PURUS,MANOEL URBANO,1200344,Manoel Urbano
RS,10º CRE (Uruguaiana),Manoel Viana,4311759,Manoel Viana
BA,22,MANOEL VITORINO,2920403,Manoel Vitorino
BA,11,Mansidão,2920452,Mansidão
MG,SRE GOVERNADOR VALADARES,MANTENA,3139607,Mantena
ES,SRE Barra de São Francisco,Mantenópolis,3203304,Mantenópolis
RS,11º CRE (Osório),Maquiné,4311775,Maquiné
MG,SRE JUIZ DE FORA,MAR DE ESPANHA,3139805,Mar de Espanha
AL,4a GEE,Mar Vermelho,2704906,Mar Vermelho
GO,CRE-URUAÇU,MARA ROSA,5212808,Mara Rosa
AM,Norte Amazonense,Maraã,1302801,Maraã
PA,"",Marabá,1504208,Marabá
SP,SANTO ANASTACIO,MARABA PAULISTA,3528700,Marabá Paulista
MA,ze doca,maracacume,2106326,Maracaçumé
SP,ASSIS,MARACAI,3528809,Maracaí
SC,Coordenadoria Regional de Educação de Araranguá,Maracajá,4210407,Maracajá
MS,CRE 5,Maracaju,5005400,Maracaju
PA,Maracanã,Maracanã,1504307,Maracanã
CE,CREDE 01,Maracanaú,2307650,Maracanaú
BA,9,Maracás,2920502,Maracás
AL,10a GEE,Maragogi,2704500,Maragogi
BA,21,MARAGOGIPE,2920601,Maragogipe
PE,MATA SUL (PALMARES),Maraial,2609204,Maraial
MA,lago da pedra,maraja do sena,2106359,Marajá do Sena
CE,CREDE 01,Maranguape,2307700,Maranguape
MA,ze doca,maranhaozinho,2106375,Maranhãozinho
PA,castanhal,Marapanim,1504406,Marapanim
SP,CATANDUVA,MARAPOAMA,3528858,Marapoama
RS,2º CRE (São Leopoldo),Maratá,4311791,Maratá
ES,SRE Cachoeiro de Itapemirim,Marataízes,3203320,Marataízes
BA,5,Maraú,2920700,Maraú
RS,7º CRE (Passo Fundo),Marau,4311809,Marau
AL,6a GEE,Maravilha,2704609,Maravilha
SC,Coordenadoria Regional de Educação de Maravilha,Maravilha,4210506,Maravilha
MG,SRE SETE LAGOAS,MARAVILHAS,3139706,Maravilhas
PB,Mamanguape,Marcação,2509057,Marcação
MT,MATUPÁ,Marcelândia,5105580,Marcelândia
RS,15º CRE (Erechim),Marcelino Ramos,4311908,Marcelino Ramos
RN,15,marcelino vieira,2407302,Marcelino Vieira
BA,3,Marcionílio Souza,2920809,Marcionílio Souza
CE,CREDE 03,Marco,2307809,Marco
PI,16ª,MARCOLANDIA,2205953,Marcolândia
PI,10ª,MARCOS PARENTE,2206001,Marcos Parente
PR,TOLEDO,MARECHAL CANDIDO RONDON,4114609,Marechal Cândido Rondon
AL,1a GEE,Marechal Deodoro,2704708,Marechal Deodoro
AL,1a GEE,Marechal Deodoro,2704708,Marechal Deodoro
ES,SRE Cariacica,Marechal Floriano,3203346,Marechal Floriano
AC,JURUÁ,MARECHAL THAUMATURGO,1200351,Marechal Thaumaturgo
SC,Coordenadoria Regional de Educação de Xanxerê,Marema,4210555,Marema
PB,João Pessoa,Mari,2509107,Mari
MG,SRE ITAJUBÁ,MARIA DA FÉ,3139904,Maria da Fé
PR,UMUARAMA,MARIA HELENA,4114708,Maria Helena
PR,MARINGA,MARIALVA,4114807,Marialva
MG,SRE OURO PRETO,MARIANA,3140001,Mariana
RS,12º CRE (Guaíba),Mariana Pimentel,4311981,Mariana Pimentel
RS,15º CRE (Erechim),Mariano Moro,4312005,Mariano Moro
TO,PARAISO DO TOCANTINS,Marianópolis do Tocantins,1712504,Marianópolis do Tocantins
SP,ADAMANTINA,MARIAPOLIS,3528908,Mariápolis
AL,3a GEE,Maribondo,2704807,Maribondo
RJ,BAIXADAS LITÔRANEAS,Maricá,3302700,Maricá
MG,SRE GOVERNADOR VALADARES,MARILAC,3140100,Marilac
ES,SRE Colatina,Marilândia,3203353,Marilândia
PR,APUCARANA,MARILANDIA DO SUL,4114906,Marilândia do Sul
PR,LOANDA,MARILENA,4115002,Marilena
SP,MARILIA,MARILIA,3529005,Marília
PR,GOIOERE,MARILUZ,4115101,Mariluz
PR,MARINGA,MARINGA,4115200,Maringá
SP,JALES,MARINOPOLIS,3529104,Marinópolis
MG,SRE METROPOLITANA B,MÁRIO CAMPOS,3140159,Mário Campos
PR,PATO BRANCO,MARIOPOLIS,4115309,Mariópolis
PR,TOLEDO,MARIPA,4115358,Maripá
MG,SRE JUIZ DE FORA,MARIPÁ DE MINAS,3140209,Maripá de Minas
PB,Sousa,Marizópolis,2509156,Marizópolis
MG,SRE CORONEL FABRICIANO,MARLIÉRIA,3140308,Marliéria
PR,FRANCISCO BELTRAO,MARMELEIRO,4115408,Marmeleiro
MG,SRE ITAJUBÁ,MARMELÓPOLIS,3140407,Marmelópolis
RS,3º CRE (Estrela),Marques de Souza,4312054,Marques de Souza
PR,LARANJEIRAS DO SUL,MARQUINHO,4115457,Marquinho
MG,SRE PARÁ DE MINAS,MARTINHO CAMPOS,3140506,Martinho Campos
CE,CREDE 04,Martinópole,2307908,Martinópole
SP,PRESIDENTE PRUDENTE,MARTINOPOLIS,3529203,Martinópolis
RN,14,martins,2407401,Martins
MG,SRE MANHUAÇU,MARTINS SOARES,3140530,Martins Soares
SE,DRE08,MARUIM,2804003,Maruim
PR,APUCARANA,MARUMBI,4115507,Marumbi
GO,CRE-MORRINHOS,MARZAGÃO,5212907,Marzagão
BA,5,Mascote,2920908,Mascote
CE,CREDE 06,Massapê,2308005,Massapê
PI,09ª,Massapê do Piauí,2206050,Massapê do Piauí
PB,Campina Grande,Massaranduba,2509206,Massaranduba
SC,Coordenadoria Regional de Educação de Jaraguá do Sul,Massaranduba,4210605,Massaranduba
RS,8º CRE (Santa Maria),Mata,4312104,Mata
BA,18,MATA DE SAO JOAO,2921005,Mata de São João
AL,11a GEE,Mata Grande,2705002,Mata Grande
MA,chapadinha,mata roma,2106409,Mata Roma
MG,SRE ALMENARA,MATA VERDE,3140555,Mata Verde
SP,ARARAQUARA,MATAO,3529302,Matão
PB,Mamanguape,Mataraca,2509305,Mataraca
TO,PALMAS,Mateiros,1712702,Mateiros
PR,FOZ DO IGUACU,MATELANDIA,4115606,Matelândia
MG,SRE GUANHÃES,MATERLÂNDIA,3140605,Materlândia
MG,SRE METROPOLITANA B,MATEUS LEME,3140704,Mateus Leme
MG,SRE GOVERNADOR VALADARES,MATHIAS LOBATO,3171501,Mathias Lobato
MG,SRE JUIZ DE FORA,MATIAS BARBOSA,3140803,Matias Barbosa
MG,SRE JANUÁRIA,MATIAS CARDOSO,3140852,Matias Cardoso
PI,02ª,MATIAS OLIMPIO,2206100,Matias Olímpio
BA,2,Matina,2921054,Matina
MA,viana,matinha,2106508,Matinha
PB,Campina Grande,Matinhas,2509339,Matinhas
PR,PARANAGUA,MATINHOS,4115705,Matinhos
MG,SRE MANHUAÇU,MATIPÓ,3140902,Matipó
RS,7º CRE (Passo Fundo),Mato Castelhano,4312138,Mato Castelhano
PB,Catolé do Rocha,Mato Grosso,2509370,Mato Grosso
RS,6º CRE (Santa Cruz do Sul),Mato Leitão,4312153,Mato Leitão
RS,32º CRE (São Luiz Gonzaga),Mato Queimado,4312179,Mato Queimado
PR,PITANGA,MATO RICO,4115739,Mato Rico
MG,SRE JANAÚBA,MATO VERDE,3141009,Mato Verde
MA,timon,matoes,2106607,Matões
MA,itapecuru-mirim,matoes do norte,2106631,Matões do Norte
SC,Coordenadoria Regional de Educação de Caçador,Matos Costa,4210704,Matos Costa
MG,SRE SETE LAGOAS,MATOZINHOS,3141108,Matozinhos
GO,CRE-JUSSARA,MATRINCHÃ,5212956,Matrinchã
AL,10a GEE,Matriz de Camaragibe,2705101,Matriz de Camaragibe
MT,MATUPÁ,Matupá,5105606,Matupá
PB,Patos,Maturéia,2509396,Maturéia
MG,SRE PATOS DE MINAS,MATUTINA,3141207,Matutina
SP,MAUA,MAUA,3529401,Mauá
PR,APUCARANA,MAUA DA SERRA,4115754,Mauá da Serra
AM,Centro Amazonense,Maués,1302900,Maués
GO,CRE-SANTA HELENA,MAURILÂNDIA,5213004,Maurilândia
TO,TOCANTINOPOLIS,Maurilândia do Tocantins,1712801,Maurilândia do Tocantins
CE,CREDE 20,Mauriti,2308104,Mauriti
RN,5,maxaranguape,2407500,Maxaranguape
RS,15º CRE (Erechim),Maximiliano de Almeida,4312203,Maximiliano de Almeida
AP,AP,Mazagao,1600402,Mazagão
MG,SRE DIVINÓPOLIS,MEDEIROS,3141306,Medeiros
BA,7,Medeiros Neto,2921104,Medeiros Neto
PR,FOZ DO IGUACU,MEDIANEIRA,4115804,Medianeira
PA,altamira,Medicilândia,1504455,Medicilândia
MG,SRE ARAÇUAÍ,MEDINA,3141405,Medina
SC,Coordenadoria Regional de Educação de Araranguá,Meleiro,4210803,Meleiro
PA,Breves,Melgaço,1504505,Melgaço
RJ,CENTRO-SUL,Mendes,3302809,Mendes
MG,SRE GOVERNADOR VALADARES,MENDES PIMENTEL,3141504,Mendes Pimentel
SP,JOSE BONIFACIO,MENDONCA,3529500,Mendonça
PR,TOLEDO,MERCEDES,4115853,Mercedes
MG,SRE BARBACENA,MERCÊS,3141603,Mercês
SP,FERNANDOPOLIS,MERIDIANO,3529609,Meridiano
CE,CREDE 06,Meruoca,2308203,Meruoca
SP,JALES,MESOPOLIS,3529658,Mesópolis
MG,SRE CORONEL FABRICIANO,MESQUITA,3141702,Mesquita
RJ,METROPOLITANA VII,Mesquita,3302858,Mesquita
AL,12a GEE,Messias,2705200,Messias
RN,14,messias targino,2407609,Messias Targino
PI,18ª,MIGUEL ALVES,2206209,Miguel Alves
BA,16,MIGUEL CALMON,2921203,Miguel Calmon
PI,06ª,MIGUEL LEAO,2206308,Miguel Leão
RJ,CENTRO-SUL,Miguel Pereira,3302908,Miguel Pereira
SP,SAO JOAQUIM DA BARRA,MIGUELOPOLIS,3529708,Miguelópolis
BA,9,Milagres,2921302,Milagres
CE,CREDE 20,Milagres,2308302,Milagres
MA,chapadinha,milagres do maranhao,2106672,Milagres do Maranhão
CE,CREDE 14,Milhã,2308351,Milhã
PI,03ª,MILTON BRANDAO,2206357,Milton Brandão
GO,CRE-ÁGUAS LINDAS,MIMOSO DE GOIÁS,5213053,Mimoso de Goiás
ES,SRE Cachoeiro de Itapemirim,Mimoso do Sul,3203403,Mimoso do Sul
GO,CRE-MINAÇU,MINAÇU,5213087,Minaçu
AL,3a GEE,Minador do Negrão,2705309,Minador do Negrão
RS,12º CRE (Guaíba),Minas do Leao,4312252,Minas do Leão
MG,SRE DIAMANTINA,MINAS NOVAS,3141801,Minas Novas
MG,SRE CAXAMBU,MINDURI,3141900,Minduri
GO,CRE-MINEIROS,MINEIROS,5213103,Mineiros
SP,JAU,MINEIROS DO TIETE,3529807,Mineiros do Tietê
SP,FERNANDOPOLIS,MIRA ESTRELA,3530003,Mira Estrela
MG,SRE MONTES CLAROS,MIRABELA,3142007,Mirabela
SP,MIRACATU,MIRACATU,3529906,Miracatu
RJ,NOROESTE FLUMINENSE,Miracema,3303005,Miracema
TO,MIRACEMA DO TOCANTINS,Miracema do Tocantins,1713205,Miracema do Tocantins
MA,são joao dos patos,mirador,2106706,Mirador
PR,PARANAVAI,MIRADOR,4115903,Mirador
MG,SRE MURIAÉ,MIRADOURO,3142106,Miradouro
RS,21º CRE (Três Passos),Miraguaí,4312302,Miraguaí
MG,SRE MURIAÉ,MIRAÍ,3142205,Miraí
CE,CREDE 02,Miraíma,2308377,Miraíma
MS,CRE 1,Miranda,5005608,Miranda
MA,itapecuru-mirim,miranda do norte,2106755,Miranda do Norte
PE,SERTÃO CENTRAL (SALGUEIRO),Mirandiba,2609303,Mirandiba
SP,ANDRADINA,MIRANDOPOLIS,3530102,Mirandópolis
BA,16,MIRANGABA,2921401,Mirangaba
TO,MIRACEMA DO TOCANTINS,Miranorte,1713304,Miranorte
BA,20,MIRANTE,2921450,Mirante
RO,OURO PRETO,Mirante da Serra,1101302,Mirante da Serra
SP,MIRANTE DO PARANAPANEMA,MIRANTE DO PARANAPANEMA,3530201,Mirante do Paranapanema
PR,LONDRINA,MIRASELVA,4116000,Miraselva
SP,JOSE BONIFACIO,MIRASSOL,3530300,Mirassol
MT,CÁCERES,Mirassol d'Oeste,5105622,Mirassol d'Oeste
SP,SAO JOSE DO RIO PRETO,MIRASSOLANDIA,3530409,Mirassolândia
MG,SRE JANUÁRIA,MIRAVÂNIA,3142254,Miravânia
SC,Coordenadoria Regional de Educação de Taió,Mirim Doce,4210852,Mirim Doce
MA,pinheiro,mirinzal,2106805,Mirinzal
PR,FOZ DO IGUACU,MISSAL,4116059,Missal
CE,CREDE 20,Missão Velha,2308401,Missão Velha
PA,cametá,Mocajuba,1504604,Mocajuba
SP,SAO JOAO DA BOA VISTA,MOCOCA,3530508,Mococa
SC,Coordenadoria Regional de Educação de Maravilha,Modelo,4210902,Modelo
MG,SRE METROPOLITANA A,MOEDA,3142304,Moeda
MG,SRE DIVINÓPOLIS,MOEMA,3142403,Moema
PB,Itabaiana,Mogeiro,2509404,Mogeiro
SP,MOGI DAS CRUZES,MOGI DAS CRUZES,3530607,Mogi das Cruzes
SP,MOGI MIRIM,MOGI GUACU,3530706,Mogi Guaçu
SP,MOGI MIRIM,MOGI MIRIM,3530805,Mogi Mirim
GO,CRE-SÃO L. M. BELOS,MOIPORÁ,5213400,Moiporá
SE,DRE03,MOITA BONITA,2804102,Moita Bonita
PA,abaetetuba,Moju,1504703,Moju
PA,santarém,Mojuí dos campos,1504752,Mojuí dos Campos
CE,CREDE 14,Mombaça,2308500,Mombaça
SP,CAPIVARI,MOMBUCA,3530904,Mombuca
MA,santa ines,moncao,2106904,Monção
SP,VOTUPORANGA,MONCOES,3531001,Monções
SC,Coordenadoria Regional de Educação de Palmitos,Mondai,4211009,Mondaí
SP,SAO VICENTE,MONGAGUA,3531100,Mongaguá
MG,SRE DIAMANTINA,MONJOLOS,3142502,Monjolos
PI,18ª,MONSENHOR GIL,2206407,Monsenhor Gil
PI,09ª,MONSENHOR HIPOLITO,2206506,Monsenhor Hipólito
MG,SRE VARGINHA,MONSENHOR PAULO,3142601,Monsenhor Paulo
CE,CREDE 13,Monsenhor Tabosa,2308609,Monsenhor Tabosa
PB,Campina Grande,Montadas,2509503,Montadas
MG,SRE JANUÁRIA,MONTALVÂNIA,3142700,Montalvânia
ES,SRE Nova Venécia,Montanha,3203502,Montanha
RN,3,montanhas,2407708,Montanhas
RS,16º CRE (Bento Gonçalves),Montauri,4312351,Montauri
PA,Monte alegre,Monte alegre,1504802,Monte Alegre
RN,2,monte alegre,2407807,Monte Alegre
GO,CRE-CAMPOS BELOS,MONTE ALEGRE DE GOIÁS,5213509,Monte Alegre de Goiás
MG,SRE UBERLÂNDIA,MONTE ALEGRE DE MINAS,3142809,Monte Alegre de Minas
SE,DRE09,MONTE ALEGRE DE SERGIPE,2804201,Monte Alegre de Sergipe
PI,15ª,MONTE ALEGRE DO PIAUI,2206605,Monte Alegre do Piauí
SP,MOGI MIRIM,MONTE ALEGRE DO SUL,3531209,Monte Alegre do Sul
RS,23º CRE (Vacaria),Monte Alegre dos Campos,4312377,Monte Alegre dos Campos
SP,JABOTICABAL,MONTE ALTO,3531308,Monte Alto
SP,JOSE BONIFACIO,MONTE APRAZIVEL,3531407,Monte Aprazível
MG,SRE JANAÚBA,MONTE AZUL,3142908,Monte Azul
SP,JABOTICABAL,MONTE AZUL PAULISTA,3531506,Monte Azul Paulista
MG,SRE POÇOS DE CALDAS,MONTE BELO,3143005,Monte Belo
RS,16º CRE (Bento Gonçalves),Monte Belo do Sul,4312385,Monte Belo do Sul
SC,Coordenadoria Regional de Educação de Campos Novos,Monte Carlo,4211058,Monte Carlo
MG,SRE MONTE CARMELO,MONTE CARMELO,3143104,Monte Carmelo
SC,Coordenadoria Regional de Educação de Mafra,Monte Castelo,4211108,Monte Castelo
SP,ADAMANTINA,MONTE CASTELO,3531605,Monte Castelo
RN,3,monte das gameleiras,2407906,Monte das Gameleiras
TO,PORTO NACIONAL,Monte do Carmo,1713601,Monte do Carmo
MG,SRE ALMENARA,MONTE FORMOSO,3143153,Monte Formoso
PB,Cajazeiras,Monte Horebe,2509602,Monte Horebe
SP,CAPIVARI,MONTE MOR,3531803,Monte Mor
RO,ARIQUEMES,Monte Negro,1101401,Monte Negro
BA,4,Monte Santo,2921500,Monte Santo
MG,SRE SÃO SEBASTIÃO DO PARAÍSO,MONTE SANTO DE MINAS,3143203,Monte Santo de Minas
TO,PARAISO DO TOCANTINS,Monte Santo do Tocantins,1713700,Monte Santo do Tocantins
MG,SRE POUSO ALEGRE,MONTE SIÃO,3143401,Monte Sião
PB,Monteiro,Monteiro,2509701,Monteiro
SP,SAO JOSE DOS CAMPOS,MONTEIRO LOBATO,3531704,Monteiro Lobato
AL,8a GEE,Monteirópolis,2705408,Monteirópolis
RS,2º CRE (São Leopoldo),Montenegro,4312401,Montenegro
MA,imperatriz,montes altos,2107001,Montes Altos
MG,SRE MONTES CLAROS,MONTES CLAROS,3143302,Montes Claros
GO,CRE-JUSSARA,MONTES CLAROS DE GOIÁS,5213707,Montes Claros de Goiás
MG,SRE JANAÚBA,MONTEZUMA,3143450,Montezuma
GO,CRE-RIO VERDE,MONTIVIDIU,5213756,Montividiu
